
===============================Metric of instruction=====================
Opcode                            total_times        spend_time(seconds)
STOP                           473679961                  10.420831451
ADD                          14390252618                 140.753184039
MUL                           2363134451                  23.571919387
SUB                           4318079433                  43.064949767
DIV                           2627901719                  72.347550589
SDIV                             6776441                   0.236050992
MOD                             90974379                    1.56102148
SMOD                              500648                    0.01742321
ADDMOD                            719649                    0.02274958
MULMOD                           1884458                   0.299675082
EXP                           2954363600                 221.686446516
SIGNEXTEND                      33028158                   0.467796617
LT                            3853990946                  38.838606584
GT                            1292925743                  14.067938661
SLT                             42821296                   0.530725625
SGT                            489455884                   4.950164665
EQ                            5669518978                  56.731688581
ISZERO                       13683218903                  134.80829865
AND                           9150586996                  91.026351107
OR                             329486208                   3.242941962
XOR                             58730856                   0.589163393
NOT                            772324979                   7.687596566
BYTE                            95435499                  55.173626781
SHL                            306382796                   3.435107421
SHR                             45626785                   0.630477589
SAR                                 3845                    0.00003393
SHA3                          2898575747                 935.803085309
ADDRESS                         85054949                   0.921416081
BALANCE                         21097452                   6.500615205
ORIGIN                           6464409                   0.087568016
CALLER                         977057508                   9.803267287
CALLVALUE                      412223374                   4.540300543
CALLDATALOAD                  1285918694                  15.914577513
CALLDATASIZE                   559283144                   5.726769468
CALLDATACOPY                   107171030                   3.635073343
CODESIZE                        18419802                   0.182539869
CODECOPY                        81219802                   9.016832163
GASPRICE                         5466944                   0.112066697
EXTCODESIZE                    365398551                 120.093115667
EXTCODECOPY                       140735                   0.123735258
RETURNDATASIZE                 141431427                   1.412327401
RETURNDATACOPY                  12202264                   0.358671896
EXTCODEHASH                       225509                   0.169309932
BLOCKHASH                        9822010                  21.020969755
COINBASE                         2144114                   0.024911781
TIMESTAMP                      128718628                   1.379180074
NUMBER                          72943859                   0.789906737
DIFFICULTY                       5153010                   0.054842984
GASLIMIT                         2187863                   0.027607953
CHAINID                              948                    0.00002013
SELFBALANCE                       299756                    0.01033273
BASEFEE                                7                    0.00000018
POP                          18265523607                 178.159919869
MLOAD                         6253640202                  61.869906863
MSTORE                       10680288751                 114.234711319
MSTORE8                         71774495                   0.785680889
SLOAD                         3868637594                 1677.09477763
SSTORE                        1206950026                 270.318721283
JUMP                          8452104769                  82.625384256
JUMPI                        14674370056                 143.625438539
PC                               1200430                   0.021961365
MSIZE                            7696902                   0.079448871
GAS                            882845634                   8.811290675
JUMPDEST                     17910755171                 177.123329611
PUSH0                                  2                   0.000000037
PUSH1                        42872403768                 423.073111089
PUSH2                        23601978838                 231.074558245
PUSH3                         1018101992                  10.057181423
PUSH4                         6261969578                  61.488492543
PUSH5                           58622136                    0.59865385
PUSH6                           16843702                   0.174908129
PUSH7                           33362122                    0.34698883
PUSH8                          250770378                    2.53945364
PUSH9                           30500540                   0.311392557
PUSH10                          13518784                   0.145235631
PUSH11                           4801484                   0.051346787
PUSH12                          19243418                   0.202384309
PUSH13                         122416183            1.2491448410000001
PUSH14                           4759195                   0.052120437
PUSH15                           3981315                   0.043057019
PUSH16                          41972025                   0.447844114
PUSH17                           9274516                   0.110862798
PUSH18                            597378                   0.007643086
PUSH19                           8647225                   0.091632384
PUSH20                        3259235507                  32.409272729
PUSH21                          13525175                   0.142504383
PUSH22                           5951029                   0.067013954
PUSH23                           1898900                   0.021749902
PUSH24                           3466434                   0.037139404
PUSH25                           3811538                   0.041314183
PUSH26                           3558248                   0.043059967
PUSH27                           5036980                   0.054283851
PUSH28                          24860461                   0.281929096
PUSH29                         328082972                   3.432549132
PUSH30                           5157229                   0.054241432
PUSH31                          75315623                   0.746838523
PUSH32                         680788464                   6.919024097
DUP1                         13839421489                 135.661268481
DUP2                         17401257348                 170.697216313
DUP3                          8366304802                  82.058281237
DUP4                          5669462377                  55.794368947
DUP5                          3330049909                  33.058745355
DUP6                          2113801810                  20.935835813
DUP7                          1179787493                  11.789702981
DUP8                          1059994379                   10.61528637
DUP9                           791868342                   7.946075686
DUP10                          391275979                   3.904265075
